Node,Eigenvector
health,0.24050088534499903
stress,0.2199229287057921
result,0.21846062886245612
support,0.20863260755234997
depression,0.20854992260939262
student,0.20561039611258777
disorder,0.1939547491399967
outcome,0.1932419448450941
anxiety,0.18041424451089125
medical,0.1640449856190108
physical,0.15794401351605297
healthcare,0.15748570268258616
policy,0.14371310063520698
participant,0.14360018670538657
behavior,0.14357292922541848
longitudinal,0.14024862114066505
condition,0.13968908981909023
fear,0.134726954612761
comparison,0.13156751113911314
trauma,0.1309752866552347
resilience,0.12988388826914352
therapy,0.1291459418269124
isolation,0.12406245136006844
member,0.1210667699798929
characteristic,0.11495284010444323
suicidal,0.11237030642684595
organization,0.11188358456058069
acute,0.11038969296729587
worker,0.10945628086671451
barrier,0.09582541904535118
